,TCL科技,一汽解放,万华化学,万科A,三一重工,三七互娱,三六零,三环集团,三花智控,上汽集团,上海临港,上海医药,上海机场,上海莱士,上海银行,上港集团,世纪华通,东方盛虹,东方证券,东方财富,东方雨虹,中信特钢,中信证券,中信银行,中公教育,中兴通讯,中国东航,中国中免,中国中冶,中国中车,中国中铁,中国交建,中国人寿,中国国航,中国太保,中国巨石,中国平安,中国建筑,中国核电,中国电建,中国石化,中国石油,中国神华,中国联通,中国船舶,中国重工,中国铁建,中国铝业,中国银河,中国银行,中国长城,中海油服,中炬高新,中煤能源,中环股份,中科曙光,中联重科,中航光电,中航沈飞,中航西飞,中远海控,中金黄金,乐普医疗,云南白药,五粮液,交通银行,京东方A,人福医药,亿纬锂能,亿联网络,今世缘,伊利股份,保利发展,健帆生物,兆易创新,先导智能,光大证券,光大银行,兴业证券,兴业银行,农业银行,凯莱英,分众传媒,包钢股份,北京银行,北新建材,北方华创,北方稀土,华东医药,华侨城A,华兰生物,华友钴业,华域汽车,华夏银行,华大基因,华峰化学,华泰证券,华能国际,华能水电,华鲁恒升,南京银行,南方航空,双汇发展,古井贡酒,合盛硅业,同仁堂,同花顺,君正集团,国信证券,国投电力,国投资本,国泰君安,国电南瑞,国电电力,国金证券,坚朗五金,复星医药,大华股份,大参林,大族激光,大秦铁路,天坛生物,天赐材料,天齐锂业,宁波银行,安图生物,宋城演艺,完美世界,宝信软件,宝钢股份,山东黄金,山西汾酒,工商银行,平安银行,广发证券,广汽集团,广联达,康泰生物,建设银行,徐工机械,恒力石化,恒瑞医药,恒生电子,恒立液压,恒逸石化,恩捷股份,招商蛇口,招商证券,招商银行,新华保险,新和成,新城控股,新希望,方正证券,星宇股份,春秋航空,晨光文具,晶澳科技,晶盛机电,智飞生物,杭州银行,格力电器,欧普康视,欧派家居,歌尔股份,正泰电器,正邦科技,比亚迪,民生银行,永辉超市,汇川技术,汇顶科技,江苏银行,江西铜业,沃森生物,泰格医药,泸州老窖,洋河股份,洛阳钼业,浙商证券,浙江鼎力,浙江龙盛,浦发银行,浪潮信息,海大集团,海天味业,海尔智家,海康威视,海螺水泥,海通证券,深南电路,温氏股份,潍柴动力,爱尔眼科,片仔癀,牧原股份,环旭电子,玲珑轮胎,璞泰来,生益科技,用友网络,申万宏源,白云山,百润股份,益丰药房,福斯特,福耀玻璃,科大讯飞,立讯精密,紫光国微,紫光股份,紫金矿业,绝味食品,绿地控股,美年健康,美的集团,航发动力,芒果超媒,苏宁易购,苏泊尔,英科医疗,荣盛石化,蓝思科技,视源股份,豫园股份,贝达药业,财通证券,贵州茅台,赣锋锂业,通威股份,通策医疗,重庆啤酒,金发科技,金地集团,金域医学,金风科技,长城汽车,长安汽车,长春高新,长江电力,长江证券,长电科技,闻泰科技,阳光电源,陕西煤业,隆基股份,青岛啤酒,韦尔股份,韵达股份,顺丰控股,领益智造,高德红外,龙佰集团
同花顺,-0.1,-0.05,0.2,-0.2,-0.25,0.45,0.65,-0.05,0.25,-0.05,-0.05,-0.25,-0.05,-0.05,0.2,0.25,0.35,-0.05,0.55,0.85,-0.05,-0.1,0.65,-0.2,0.25,0.25,-0.05,-0.1,-0.05,-0.05,-0.05,-0.05,0.25,-0.05,0.25,-0.1,0.35,-0.1,-0.05,-0.05,-0.1,-0.05,-0.1,0.25,-0.1,-0.05,-0.05,-0.1,0.65,-0.1,-0.1,-0.05,-0.1,-0.1,-0.05,0.45,-0.05,-0.05,-0.05,-0.05,-0.1,-0.05,0.35,-0.05,-0.1,-0.05,0.25,0.25,0.25,0.35,-0.05,-0.1,-0.05,0.25,0.25,0.25,0.65,-0.05,0.65,-0.25,-0.1,-0.1,0.35,-0.05,-0.2,-0.05,-0.25,-0.05,0.2,-0.1,0.25,-0.05,0.25,-0.25,0.25,-0.1,0.65,-0.05,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.05,-0.1,1.0,-0.05,0.55,-0.05,0.45,0.65,-0.05,-0.05,0.75,-0.05,-0.05,0.25,-0.1,-0.05,-0.05,-0.05,-0.05,-0.05,0.35,-0.05,-0.05,0.25,0.35,-0.1,-0.25,-0.1,-0.25,0.45,0.65,-0.05,0.55,-0.1,-0.25,-0.1,-0.05,-0.05,0.75,-0.05,-0.05,-0.05,-0.05,0.65,0.35,0.35,-0.05,-0.05,-0.05,0.65,-0.05,-0.25,-0.05,-0.05,-0.05,-0.05,0.25,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.1,0.45,-0.05,-0.1,0.25,0.35,-0.05,-0.05,-0.05,-0.05,-0.1,-0.05,0.55,-0.25,-0.05,0.45,0.45,-0.05,-0.05,-0.05,0.25,-0.1,0.65,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.65,0.55,-0.1,-0.05,-0.05,-0.05,-0.05,0.45,-0.05,0.25,0.25,-0.05,-0.05,-0.05,-0.05,-0.25,-0.1,-0.1,-0.1,-0.05,-0.05,-0.1,-0.05,0.0,-0.1,-0.05,0.65,-0.05,-0.1,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.1,-0.05,-0.05,-0.05,0.55,-0.05,0.25,-0.05,-0.05,-0.05,-0.05,0.25,-0.05,-0.05,-0.1,-0.05,-0.05
君正集团,0.35,-0.05,0.45,-0.05,-0.1,-0.1,-0.05,-0.05,0.25,-0.05,-0.05,0.25,-0.05,-0.05,0.35,0.25,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.25,0.35,-0.05,0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.1,0.25,-0.05,0.45,0.25,0.45,-0.05,-0.05,-0.05,-0.05,-0.05,0.45,-0.05,-0.05,-0.05,-0.05,-0.25,-0.05,-0.05,-0.05,-0.05,-0.1,0.45,0.45,0.25,-0.05,-0.05,-0.05,-0.1,0.25,-0.05,0.25,0.25,-0.05,-0.05,0.25,0.25,-0.05,-0.05,-0.1,0.25,-0.1,-0.05,-0.05,-0.25,-0.05,-0.05,-0.05,0.35,-0.1,-0.25,-0.05,0.25,0.35,-0.1,-0.05,0.35,0.25,0.25,0.25,-0.05,-0.05,0.25,-0.05,0.45,0.25,-0.2,-0.1,0.25,0.25,-0.1,-0.05,-0.05,0.55,0.25,-0.05,1.0,0.25,0.25,0.45,0.25,-0.05,0.25,0.25,-0.1,-0.05,0.35,-0.1,-0.05,-0.05,-0.05,-0.05,0.25,-0.05,-0.05,-0.05,-0.05,-0.05,-0.1,-0.1,-0.05,-0.2,0.25,0.25,-0.05,0.0,-0.05,-0.1,-0.05,0.45,-0.1,-0.1,0.25,0.25,0.25,-0.05,0.35,-0.05,0.25,0.25,0.0,-0.05,0.25,-0.1,-0.05,-0.05,-0.05,-0.05,-0.05,-0.1,-0.05,-0.05,-0.05,-0.05,0.25,-0.05,-0.05,0.45,-0.05,-0.05,0.35,0.25,0.35,-0.15,-0.1,-0.05,-0.1,0.25,0.25,-0.05,0.25,0.35,-0.05,-0.05,0.0,-0.1,0.25,0.25,0.35,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.25,-0.05,-0.05,0.0,0.45,-0.05,-0.05,-0.05,-0.05,0.25,-0.05,-0.05,0.45,0.25,0.35,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.1,0.35,-0.1,0.0,0.25,-0.1,0.25,-0.05,0.25,0.0,-0.25,-0.1,0.25,-0.05,-0.05,-0.1,-0.05,-0.05,-0.05,-0.05,0.35,0.35,0.0,-0.05,0.45,0.0,-0.1,0.0,-0.05,-0.05,-0.1,-0.05,0.25
国信证券,0.25,-0.05,-0.05,0.45,-0.2,-0.05,-0.1,0.25,-0.05,0.25,-0.05,0.25,-0.1,-0.1,0.35,0.25,-0.05,-0.1,0.85,0.75,-0.05,-0.05,0.85,0.45,-0.05,0.35,-0.1,-0.05,0.25,-0.1,0.25,0.35,0.45,-0.1,0.55,-0.05,0.75,0.25,-0.05,0.25,-0.05,-0.1,-0.1,0.35,-0.05,-0.05,-0.1,-0.1,0.85,0.45,0.35,-0.05,-0.05,-0.25,-0.1,-0.05,-0.1,-0.05,-0.1,-0.05,-0.1,-0.1,0.25,0.25,-0.05,0.65,0.25,0.25,0.35,-0.05,-0.05,0.25,0.25,0.25,0.25,0.25,0.75,0.45,0.85,0.65,0.35,0.25,0.25,-0.05,0.65,-0.1,-0.1,-0.05,0.25,0.35,0.35,-0.1,0.25,0.45,0.25,-0.05,0.85,-0.05,-0.05,-0.05,0.55,-0.25,-0.05,-0.05,-0.05,-0.05,0.55,0.25,1.0,0.25,0.85,0.85,-0.05,-0.05,0.85,-0.05,-0.05,-0.05,-0.1,-0.05,-0.05,-0.05,-0.05,-0.1,0.55,0.0,-0.25,-0.05,-0.05,-0.05,-0.25,-0.05,0.65,0.65,0.85,-0.05,0.0,-0.05,0.65,-0.05,-0.05,-0.05,0.45,-0.05,-0.05,-0.1,0.25,0.85,0.65,0.65,-0.05,0.0,-0.05,0.85,-0.05,0.35,-0.1,-0.05,-0.05,-0.05,0.65,-0.1,-0.05,-0.05,-0.05,-0.1,-0.05,-0.05,0.65,-0.1,-0.05,-0.05,0.75,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.85,-0.05,-0.05,0.75,-0.05,-0.05,-0.05,-0.05,-0.05,-0.1,0.85,-0.1,-0.05,-0.05,-0.05,-0.1,-0.05,-0.1,-0.05,-0.05,-0.1,-0.1,0.75,-0.05,-0.05,-0.1,-0.1,-0.05,-0.1,-0.05,0.25,-0.05,-0.05,-0.05,-0.05,-0.1,-0.1,-0.05,-0.05,-0.05,-0.1,-0.05,-0.1,-0.05,0.0,-0.05,-0.05,0.85,-0.05,0.0,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.25,0.85,-0.1,0.0,-0.05,0.0,-0.05,-0.05,-0.1,-0.05,-0.05,-0.1,-0.1,-0.05
国投电力,-0.1,-0.1,0.25,0.25,0.35,-0.05,-0.05,-0.05,0.25,0.25,0.25,0.2,-0.05,-0.1,0.35,0.35,-0.05,-0.05,-0.05,-0.05,-0.1,-0.1,0.35,0.25,-0.1,-0.1,0.35,-0.05,0.25,0.25,0.35,0.35,-0.05,-0.2,0.25,0.25,0.25,0.25,0.75,0.75,0.25,0.25,0.55,-0.1,-0.05,0.35,0.25,0.35,0.25,-0.05,-0.05,0.35,-0.05,0.35,0.25,-0.05,0.25,-0.05,-0.05,-0.1,-0.25,-0.25,-0.05,-0.1,-0.1,0.35,0.25,0.2,-0.25,-0.05,-0.1,0.05,0.25,-0.05,-0.1,0.25,0.25,-0.05,0.35,0.35,-0.05,-0.05,-0.2,-0.1,0.35,0.25,-0.05,-0.1,-0.1,0.25,-0.05,-0.25,0.25,-0.1,-0.1,0.25,0.45,0.85,0.75,0.25,0.25,-0.2,-0.05,-0.1,-0.25,-0.05,-0.05,0.25,0.25,1.0,0.45,0.25,0.65,0.75,-0.1,-0.05,-0.05,-0.1,-0.05,-0.05,0.45,-0.1,-0.05,-0.25,-0.05,-0.05,-0.05,-0.1,-0.05,0.25,-0.25,-0.05,0.25,-0.1,-0.05,-0.05,0.0,-0.05,0.25,-0.05,0.0,-0.05,-0.05,-0.05,-0.1,-0.05,-0.05,-0.1,-0.05,-0.05,-0.1,0.0,-0.05,-0.1,-0.05,-0.25,-0.05,0.25,-0.05,-0.1,-0.1,-0.05,-0.05,-0.1,-0.05,0.45,-0.05,-0.25,0.25,-0.05,-0.05,-0.05,-0.05,-0.25,-0.1,-0.05,-0.1,-0.05,-0.1,-0.1,-0.05,-0.05,-0.25,-0.05,-0.05,-0.05,-0.05,-0.05,0.25,-0.1,-0.05,-0.05,-0.1,-0.05,-0.05,-0.1,-0.05,-0.1,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.0,-0.05,-0.05,-0.2,-0.05,-0.05,-0.05,-0.1,-0.05,-0.05,-0.1,-0.05,-0.05,-0.25,-0.05,0.0,-0.05,-0.05,-0.05,-0.05,-0.05,0.25,-0.05,-0.05,-0.05,-0.05,-0.05,0.55,-0.05,-0.1,-0.1,0.75,0.45,-0.05,-0.05,0.0,0.35,0.0,-0.05,-0.1,-0.05,-0.2,-0.05,-0.05,-0.05
国投资本,0.25,-0.05,0.25,0.25,-0.2,-0.05,-0.05,0.2,-0.05,0.25,0.25,0.25,-0.05,0.25,0.65,0.25,-0.05,-0.05,0.75,0.75,-0.05,-0.05,0.85,0.65,-0.05,0.25,-0.1,-0.05,0.25,-0.05,0.45,0.25,0.65,-0.1,0.75,-0.2,0.65,-0.05,-0.1,0.35,-0.05,-0.05,0.25,0.2,-0.05,-0.05,0.25,-0.1,0.85,0.55,0.25,-0.05,-0.05,0.35,0.25,0.25,0.25,-0.1,-0.05,-0.05,-0.25,0.35,0.25,0.25,-0.05,0.75,0.25,0.25,-0.05,-0.1,-0.25,0.2,0.35,0.25,-0.1,0.25,0.75,0.65,0.85,0.75,0.35,-0.05,-0.05,-0.1,0.45,0.2,-0.05,-0.05,0.35,0.35,0.25,0.35,0.25,0.65,0.25,-0.05,0.75,0.35,-0.05,0.25,0.45,-0.1,-0.05,-0.05,-0.05,0.25,0.45,0.45,0.85,0.45,1.0,0.75,-0.05,0.35,0.85,-0.05,-0.1,-0.05,-0.1,-0.05,0.25,-0.05,-0.05,-0.1,0.45,-0.05,-0.05,-0.05,-0.05,-0.05,0.35,-0.05,0.45,0.65,0.75,-0.1,0.0,-0.05,0.45,-0.05,-0.05,-0.25,0.45,-0.05,-0.05,-0.05,0.25,0.75,0.45,0.65,-0.05,0.0,-0.05,0.75,-0.1,-0.05,-0.1,-0.05,-0.05,-0.05,0.45,-0.05,-0.05,-0.05,-0.1,-0.05,-0.05,-0.05,0.45,-0.05,-0.05,-0.1,0.45,0.35,-0.05,-0.1,-0.05,-0.05,-0.05,0.75,-0.05,-0.05,0.65,-0.05,-0.1,-0.05,-0.05,-0.05,-0.05,0.85,-0.1,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.0,0.0,0.75,-0.05,-0.05,-0.05,-0.05,-0.05,-0.2,0.0,0.25,-0.1,0.2,-0.05,0.25,-0.05,-0.1,-0.1,-0.1,-0.05,-0.05,-0.05,-0.05,-0.1,0.0,-0.05,-0.1,0.75,-0.05,-0.05,0.0,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.35,0.75,-0.05,0.0,-0.05,0.25,-0.05,-0.05,-0.05,-0.1,-0.05,-0.05,-0.05,-0.05
国泰君安,0.25,-0.05,0.25,0.35,0.25,-0.15,-0.05,-0.25,0.25,0.25,0.25,0.35,0.25,-0.05,0.45,0.35,-0.05,-0.05,0.85,0.75,-0.05,-0.05,0.85,0.65,-0.1,0.35,0.25,0.25,0.25,0.25,0.35,0.45,0.55,0.25,0.65,-0.1,0.75,0.35,-0.05,0.25,0.25,0.25,0.25,0.25,-0.05,0.25,0.35,-0.05,0.85,0.65,0.25,0.35,-0.05,0.35,-0.05,-0.05,0.25,-0.05,-0.05,-0.05,0.25,-0.1,0.35,0.25,-0.1,0.65,0.25,0.25,0.35,-0.05,-0.1,0.25,0.25,0.2,-0.1,0.25,0.85,0.45,0.85,0.65,0.45,0.25,0.25,-0.25,0.55,-0.05,-0.05,-0.1,0.35,0.25,0.35,0.0,0.45,0.45,0.25,-0.05,0.85,0.35,-0.05,-0.05,0.55,0.25,-0.1,-0.05,-0.1,0.25,0.65,0.25,0.85,0.25,0.75,1.0,-0.05,0.25,0.85,-0.05,-0.05,-0.05,-0.05,-0.1,0.25,-0.1,-0.05,-0.05,0.45,0.0,-0.05,-0.1,-0.1,0.2,-0.1,-0.15,0.65,0.65,0.85,-0.05,-0.05,-0.05,0.65,-0.05,-0.05,-0.05,0.55,-0.05,-0.05,-0.05,0.25,0.85,0.65,0.45,-0.05,0.0,-0.05,0.75,-0.1,0.25,0.0,-0.1,-0.05,-0.05,0.45,-0.1,-0.05,-0.05,-0.1,-0.1,-0.1,-0.25,0.65,-0.05,-0.05,-0.05,0.45,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.75,-0.05,-0.05,0.55,0.0,-0.1,-0.05,-0.05,-0.05,-0.25,0.85,-0.05,-0.05,-0.1,-0.05,-0.1,-0.1,-0.05,-0.05,-0.05,-0.1,0.0,0.85,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.25,-0.05,0.25,-0.05,-0.05,-0.05,-0.05,-0.1,-0.05,-0.05,-0.05,-0.05,0.0,-0.05,0.0,0.85,-0.05,0.0,-0.05,-0.05,-0.1,-0.05,-0.1,-0.05,-0.05,-0.05,-0.05,-0.1,0.45,0.85,-0.05,-0.1,-0.05,0.25,-0.05,-0.05,-0.05,-0.05,-0.05,-0.1,-0.05,-0.05
国电南瑞,-0.1,-0.1,0.2,-0.1,0.25,-0.05,-0.1,0.25,0.45,0.25,-0.05,-0.05,-0.05,-0.05,-0.1,0.25,-0.05,-0.05,-0.05,-0.1,-0.1,-0.05,-0.05,-0.1,-0.05,0.45,-0.05,-0.05,-0.05,0.35,0.25,0.25,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.45,0.55,-0.05,-0.1,0.35,0.25,-0.05,0.25,0.25,-0.1,-0.05,-0.05,0.25,-0.05,-0.05,-0.25,0.25,0.35,0.25,0.25,-0.05,-0.05,-0.05,-0.1,0.25,-0.05,-0.05,-0.05,0.2,0.2,0.45,-0.05,-0.05,-0.05,-0.1,-0.05,0.25,0.45,-0.05,-0.05,-0.05,-0.1,-0.05,-0.05,-0.05,-0.25,-0.25,-0.05,0.25,-0.25,-0.05,-0.05,-0.05,0.25,0.25,-0.05,-0.1,-0.05,0.25,0.65,0.45,-0.1,-0.1,-0.05,-0.05,-0.05,0.25,-0.05,-0.05,-0.05,-0.05,0.65,-0.05,-0.05,1.0,0.65,-0.05,-0.05,-0.05,0.25,-0.05,0.25,0.35,-0.05,0.25,-0.1,-0.05,-0.1,-0.05,-0.05,0.55,0.35,-0.1,-0.1,0.0,-0.05,-0.1,-0.05,0.0,-0.1,0.35,0.25,-0.05,-0.05,-0.05,0.25,-0.1,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.0,-0.05,0.25,-0.05,-0.05,-0.1,0.55,0.65,-0.05,-0.05,0.25,-0.05,-0.05,-0.1,0.55,-0.05,0.35,-0.05,-0.1,0.55,0.0,0.25,-0.05,0.0,-0.05,-0.05,-0.1,-0.05,0.25,0.25,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.25,0.25,-0.05,0.45,-0.05,-0.05,-0.05,-0.05,-0.05,0.25,-0.05,0.35,0.35,0.0,0.35,-0.05,-0.05,-0.05,0.25,-0.05,-0.05,-0.05,0.35,0.0,0.25,-0.05,-0.1,-0.05,0.25,0.25,-0.05,-0.1,-0.05,-0.05,-0.05,-0.1,0.0,-0.05,-0.05,0.25,-0.05,0.25,0.45,-0.05,-0.1,-0.05,-0.05,0.0,0.65,-0.05,0.25,-0.05,0.65,0.35,0.25,0.0,0.75,0.35,0.55,-0.05,-0.05,-0.05,-0.05,-0.2,0.2,-0.05
国电电力,-0.05,-0.1,0.25,-0.05,0.25,-0.05,-0.05,-0.05,0.25,0.35,-0.05,-0.1,-0.05,-0.05,0.25,0.25,-0.1,-0.05,-0.05,-0.05,-0.1,-0.05,0.25,-0.1,-0.05,-0.05,0.35,-0.05,0.25,0.25,0.35,0.25,-0.05,-0.1,-0.05,0.25,-0.1,0.25,0.65,0.65,0.35,0.35,0.75,-0.05,-0.05,0.25,-0.1,0.35,-0.05,-0.05,-0.05,0.45,-0.05,0.65,0.45,-0.05,-0.1,-0.05,-0.05,-0.05,-0.25,-0.1,-0.1,-0.1,-0.1,0.25,0.25,-0.05,0.25,-0.05,-0.05,-0.05,0.25,-0.05,-0.05,-0.05,-0.2,-0.1,-0.05,0.25,-0.05,-0.05,-0.05,0.35,0.25,0.25,-0.05,0.25,-0.05,0.25,-0.1,-0.25,-0.1,-0.05,-0.05,0.25,0.25,0.85,0.75,0.45,-0.05,-0.25,-0.05,-0.05,0.25,-0.1,-0.05,0.25,-0.05,0.75,0.35,0.25,0.65,1.0,-0.1,-0.05,-0.05,-0.1,-0.05,-0.05,0.45,-0.05,-0.05,-0.2,-0.1,-0.05,-0.05,-0.05,-0.05,0.35,-0.25,-0.05,0.35,-0.05,-0.05,-0.05,0.0,-0.05,0.25,-0.05,-0.25,-0.05,-0.05,-0.05,-0.25,-0.1,-0.05,-0.05,-0.05,-0.1,-0.05,0.0,-0.05,-0.05,-0.05,-0.05,-0.05,0.35,-0.1,-0.05,-0.05,-0.2,-0.05,0.0,-0.05,0.45,-0.05,0.25,0.0,-0.1,-0.05,-0.05,0.25,0.25,-0.05,-0.05,-0.05,-0.05,-0.25,-0.05,-0.05,-0.05,-0.05,-0.1,-0.05,-0.05,-0.05,-0.05,0.25,-0.05,-0.05,-0.05,-0.25,-0.05,-0.05,-0.05,-0.05,-0.25,-0.1,-0.1,-0.05,0.25,-0.05,-0.05,-0.1,-0.05,-0.1,-0.2,-0.05,-0.05,-0.05,0.25,-0.05,-0.1,-0.1,-0.1,-0.1,-0.05,-0.05,-0.05,-0.05,-0.25,-0.1,0.0,-0.05,-0.05,-0.1,-0.05,-0.1,0.35,-0.05,-0.05,-0.1,-0.1,-0.05,0.55,-0.05,-0.05,-0.05,0.75,0.25,-0.05,0.0,0.55,0.45,0.35,-0.05,-0.05,-0.05,-0.05,-0.05,-0.1,-0.05
国金证券,0.25,-0.05,-0.1,0.25,0.25,-0.05,-0.05,-0.05,-0.05,-0.1,0.25,0.25,-0.1,-0.1,0.45,0.25,-0.1,-0.05,0.75,0.75,-0.05,-0.05,0.85,0.35,-0.1,0.25,-0.1,-0.05,-0.05,-0.1,-0.05,0.25,0.45,-0.1,0.65,-0.05,0.55,-0.1,-0.05,-0.05,-0.05,-0.05,-0.1,-0.1,-0.05,-0.1,-0.1,-0.05,0.75,0.35,-0.05,-0.05,-0.05,-0.1,-0.05,0.25,-0.05,-0.05,-0.05,-0.05,-0.1,-0.05,0.25,0.25,-0.1,0.55,0.25,0.25,0.45,-0.05,-0.05,-0.05,-0.05,0.25,-0.05,0.25,0.75,0.35,0.75,0.45,0.45,-0.1,0.25,-0.1,0.45,-0.05,-0.05,-0.2,0.25,0.35,0.35,0.25,0.25,0.35,-0.05,-0.05,0.85,-0.15,-0.1,-0.05,0.45,-0.2,-0.1,-0.05,-0.05,-0.1,0.75,0.25,0.85,-0.1,0.85,0.85,-0.05,-0.1,1.0,-0.05,-0.05,-0.05,-0.05,-0.05,-0.1,-0.05,-0.1,-0.05,0.45,-0.05,-0.05,-0.05,-0.05,-0.05,-0.1,-0.05,0.65,0.65,0.85,-0.1,-0.05,-0.05,0.45,-0.05,-0.05,-0.05,0.65,-0.05,-0.1,-0.05,0.25,0.85,0.75,0.45,-0.05,0.0,-0.1,0.85,-0.05,-0.25,-0.1,0.0,-0.1,-0.05,0.35,-0.05,-0.1,-0.05,-0.1,-0.1,-0.1,-0.1,0.55,-0.1,-0.05,-0.05,0.55,0.25,-0.05,-0.05,-0.05,-0.05,-0.05,0.85,-0.05,-0.05,0.65,-0.05,-0.05,-0.05,-0.05,-0.05,-0.1,0.85,-0.05,-0.05,-0.05,-0.05,-0.1,-0.1,-0.05,0.0,-0.05,-0.1,0.35,0.0,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.25,-0.05,-0.05,-0.05,0.25,-0.1,0.0,-0.05,-0.05,-0.1,-0.05,-0.05,-0.1,-0.05,-0.05,-0.1,-0.05,0.75,-0.1,-0.05,-0.1,-0.1,0.0,-0.05,-0.1,-0.1,-0.1,-0.05,-0.05,-0.05,0.25,0.85,-0.05,-0.05,0.25,-0.25,-0.05,-0.05,0.0,-0.05,-0.1,-0.05,-0.05,-0.1
坚朗五金,-0.05,-0.05,0.25,0.55,0.25,-0.05,-0.05,0.25,0.35,-0.05,-0.05,-0.1,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.1,-0.05,0.55,0.25,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.35,-0.1,0.45,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.25,0.35,-0.05,-0.05,-0.1,-0.1,-0.05,-0.05,-0.05,-0.05,0.35,-0.05,-0.05,-0.05,-0.1,-0.05,-0.1,-0.05,-0.1,-0.05,-0.1,-0.05,-0.05,-0.05,-0.05,-0.05,-0.25,-0.05,-0.1,0.25,-0.05,-0.05,-0.1,-0.1,-0.05,-0.05,-0.05,-0.25,-0.1,0.55,-0.1,-0.05,-0.05,-0.1,-0.1,-0.1,0.25,-0.05,-0.05,0.25,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.25,-0.1,-0.05,-0.1,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,1.0,-0.05,-0.05,-0.05,0.25,-0.05,-0.05,-0.05,-0.05,-0.05,0.0,-0.05,-0.1,-0.05,0.25,-0.2,-0.05,-0.05,-0.05,-0.1,-0.05,0.25,-0.05,-0.05,0.35,-0.1,-0.05,-0.1,0.25,-0.05,-0.05,0.25,-0.25,-0.05,-0.05,-0.05,0.0,-0.1,-0.05,0.25,-0.05,-0.05,-0.1,-0.1,-0.05,-0.05,0.25,-0.1,0.45,-0.05,0.25,-0.05,-0.05,-0.05,-0.05,0.2,-0.05,-0.05,0.25,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.45,-0.05,-0.05,-0.1,-0.05,-0.1,-0.1,0.0,0.45,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.1,-0.1,0.25,-0.05,-0.05,0.0,-0.05,-0.05,-0.05,-0.05,0.25,0.45,-0.05,0.0,-0.05,-0.05,-0.05,-0.05,-0.25,-0.05,0.25,-0.05,-0.05,-0.1,0.25,-0.05,-0.05,0.25,0.0,-0.05,-0.1,-0.05,-0.1,-0.05,-0.05,-0.05,-0.1,-0.05,0.35,-0.05,0.2,0.25,-0.05,-0.05,-0.05,-0.05,-0.1,0.0,0.35,-0.1,0.25,-0.1,-0.05,-0.05,0.0,-0.1,-0.1,-0.05
